iter	Passed	Remaining
0	144	144662
1	152	76136
2	160	53274
3	167	41673
4	174	34671
5	181	30047
6	188	26670
7	195	24297
8	203	22386
9	212	21013
10	219	19722
11	227	18743
12	234	17838
13	242	17099
14	249	16389
15	257	15821
16	264	15269
17	271	14817
18	278	14380
19	285	13983
20	293	13665
21	299	13333
22	307	13050
23	314	12776
24	321	12553
25	329	12330
26	336	12137
27	343	11929
28	351	11753
29	358	11582
30	364	11404
31	372	11278
32	379	11121
33	387	10999
34	393	10859
35	401	10738
36	408	10619
37	414	10494
38	422	10419
39	429	10310
40	437	10236
41	444	10133
42	451	10052
43	458	9956
44	466	9894
45	473	9810
46	480	9738
47	487	9662
48	493	9582
49	501	9528
50	508	9463
51	516	9411
52	523	9346
53	530	9292
54	537	9226
55	544	9174
56	550	9114
57	558	9068
58	565	9021
59	572	8966
60	579	8923
61	586	8871
62	593	8828
63	601	8794
64	609	8765
65	616	8721
66	622	8670
67	631	8650
68	638	8613
69	647	8602
70	654	8565
71	661	8528
72	668	8483
73	675	8448
74	681	8404
75	688	8368
76	695	8338
77	702	8304
78	710	8280
79	716	8243
80	724	8221
81	731	8184
82	738	8158
83	744	8123
84	752	8101
85	759	8076
86	766	8043
87	773	8019
88	780	7986
89	787	7958
90	793	7930
91	801	7910
92	808	7885
93	815	7856
94	822	7834
95	829	7807
96	836	7791
97	843	7767
98	851	7753
99	859	7735
100	867	7722
101	874	7695
102	881	7675
103	888	7651
104	894	7624
105	901	7603
106	907	7576
107	914	7552
108	920	7524
109	926	7499
110	933	7474
111	939	7447
112	946	7426
113	951	7397
114	958	7374
115	965	7359
116	972	7337
117	979	7319
118	986	7300
119	992	7281
120	999	7263
121	1006	7244
122	1013	7227
123	1020	7209
124	1027	7190
125	1033	7169
126	1040	7150
127	1046	7130
128	1053	7110
129	1059	7093
130	1066	7072
131	1072	7051
132	1079	7035
133	1085	7014
134	1092	6996
135	1098	6978
136	1104	6957
137	1111	6941
138	1117	6923
139	1124	6908
140	1130	6890
141	1137	6870
142	1144	6861
143	1151	6842
144	1157	6826
145	1164	6811
146	1171	6796
147	1177	6780
148	1183	6761
149	1190	6745
150	1196	6728
151	1203	6712
152	1209	6695
153	1215	6678
154	1222	6662
155	1227	6641
156	1234	6628
157	1239	6608
158	1246	6592
159	1253	6579
160	1259	6563
161	1265	6547
162	1272	6533
163	1278	6516
164	1284	6502
165	1290	6486
166	1297	6469
167	1303	6455
168	1309	6439
169	1316	6426
170	1322	6411
171	1328	6395
172	1335	6383
173	1342	6372
174	1349	6363
175	1356	6353
176	1363	6337
177	1369	6326
178	1376	6311
179	1382	6298
180	1388	6284
181	1395	6270
182	1401	6257
183	1407	6243
184	1414	6231
185	1420	6217
186	1426	6202
187	1434	6194
188	1440	6181
189	1447	6172
190	1453	6158
191	1459	6144
192	1466	6132
193	1472	6117
194	1479	6105
195	1485	6092
196	1491	6080
197	1498	6069
198	1504	6056
199	1511	6044
200	1517	6030
201	1523	6017
202	1529	6004
203	1535	5991
204	1541	5979
205	1548	5967
206	1554	5955
207	1561	5944
208	1567	5931
209	1573	5918
210	1579	5907
211	1586	5895
212	1592	5884
213	1598	5872
214	1605	5860
215	1611	5849
216	1618	5838
217	1625	5830
218	1631	5819
219	1637	5807
220	1645	5800
221	1652	5789
222	1658	5779
223	1664	5766
224	1670	5755
225	1677	5743
226	1683	5732
227	1689	5721
228	1695	5709
229	1701	5697
230	1708	5688
231	1714	5676
232	1721	5667
233	1727	5656
234	1734	5644
235	1740	5635
236	1746	5623
237	1753	5613
238	1759	5602
239	1765	5591
240	1772	5582
241	1778	5571
242	1785	5562
243	1791	5551
244	1797	5540
245	1804	5530
246	1810	5519
247	1816	5509
248	1822	5498
249	1829	5488
250	1836	5480
251	1843	5471
252	1850	5463
253	1856	5453
254	1862	5442
255	1869	5433
256	1876	5425
257	1883	5417
258	1890	5408
259	1896	5398
260	1903	5388
261	1909	5377
262	1915	5368
263	1921	5358
264	1928	5347
265	1935	5339
266	1941	5329
267	1948	5321
268	1954	5311
269	1960	5300
270	1967	5291
271	1973	5281
272	1979	5272
273	1986	5262
274	1992	5252
275	1999	5244
276	2005	5234
277	2012	5225
278	2018	5214
279	2024	5205
280	2031	5197
281	2037	5187
282	2044	5180
283	2051	5171
284	2057	5161
285	2063	5152
286	2070	5142
287	2076	5134
288	2083	5124
289	2089	5115
290	2095	5106
291	2102	5097
292	2108	5088
293	2115	5079
294	2122	5071
295	2128	5062
296	2135	5054
297	2141	5044
298	2148	5036
299	2154	5028
300	2161	5019
301	2167	5010
302	2174	5001
303	2180	4991
304	2186	4982
305	2193	4974
306	2199	4965
307	2205	4956
308	2212	4948
309	2218	4938
310	2225	4930
311	2231	4920
312	2238	4912
313	2244	4904
314	2250	4894
315	2257	4887
316	2264	4878
317	2271	4871
318	2277	4862
319	2284	4853
320	2290	4845
321	2296	4835
322	2303	4828
323	2309	4819
324	2315	4809
325	2322	4801
326	2328	4792
327	2335	4784
328	2341	4775
329	2347	4766
330	2354	4758
331	2361	4750
332	2367	4742
333	2374	4733
334	2380	4725
335	2387	4717
336	2394	4710
337	2401	4703
338	2407	4695
339	2413	4685
340	2420	4677
341	2426	4668
342	2433	4661
343	2439	4653
344	2446	4644
345	2453	4637
346	2459	4629
347	2466	4622
348	2473	4613
349	2479	4605
350	2486	4598
351	2493	4590
352	2501	4584
353	2507	4575
354	2513	4567
355	2520	4558
356	2526	4550
357	2532	4542
358	2539	4533
359	2545	4525
360	2551	4516
361	2558	4508
362	2564	4500
363	2570	4492
364	2577	4484
365	2584	4476
366	2590	4468
367	2597	4460
368	2603	4452
369	2609	4443
370	2616	4435
371	2622	4426
372	2629	4419
373	2635	4411
374	2642	4403
375	2649	4397
376	2655	4388
377	2662	4380
378	2668	4372
379	2674	4364
380	2681	4356
381	2687	4348
382	2694	4340
383	2700	4332
384	2707	4324
385	2713	4316
386	2719	4307
387	2726	4300
388	2733	4293
389	2739	4284
390	2745	4276
391	2752	4268
392	2758	4261
393	2765	4252
394	2771	4245
395	2778	4237
396	2785	4230
397	2792	4223
398	2798	4215
399	2804	4206
400	2811	4199
401	2817	4191
402	2824	4183
403	2830	4176
404	2838	4169
405	2844	4162
406	2851	4154
407	2857	4146
408	2864	4138
409	2871	4131
410	2877	4123
411	2883	4115
412	2890	4108
413	2896	4100
414	2903	4092
415	2909	4084
416	2915	4076
417	2922	4068
418	2928	4060
419	2935	4053
420	2941	4045
421	2947	4037
422	2953	4029
423	2959	4021
424	2966	4013
425	2973	4006
426	2979	3998
427	2986	3990
428	2992	3982
429	2999	3975
430	3005	3967
431	3011	3959
432	3018	3952
433	3024	3944
434	3031	3937
435	3037	3929
436	3044	3922
437	3051	3914
438	3057	3907
439	3064	3900
440	3070	3892
441	3076	3883
442	3083	3876
443	3089	3868
444	3095	3860
445	3102	3853
446	3109	3846
447	3115	3839
448	3121	3831
449	3128	3823
450	3134	3816
451	3141	3808
452	3148	3801
453	3154	3793
454	3161	3786
455	3167	3779
456	3173	3770
457	3180	3763
458	3186	3756
459	3193	3748
460	3199	3741
461	3205	3733
462	3213	3726
463	3219	3719
464	3225	3711
465	3232	3703
466	3238	3695
467	3244	3688
468	3251	3680
469	3258	3674
470	3264	3666
471	3271	3659
472	3277	3651
473	3283	3644
474	3290	3636
475	3296	3629
476	3303	3621
477	3309	3614
478	3316	3607
479	3323	3600
480	3329	3592
481	3335	3584
482	3342	3577
483	3348	3569
484	3355	3562
485	3361	3555
486	3368	3548
487	3375	3541
488	3381	3533
489	3387	3526
490	3393	3518
491	3400	3510
492	3406	3503
493	3413	3495
494	3419	3488
495	3426	3481
496	3432	3474
497	3439	3466
498	3445	3459
499	3451	3451
500	3458	3445
501	3465	3437
502	3471	3430
503	3477	3422
504	3484	3415
505	3490	3407
506	3496	3399
507	3503	3392
508	3509	3385
509	3516	3378
510	3522	3370
511	3529	3363
512	3536	3356
513	3542	3349
514	3548	3342
515	3555	3334
516	3561	3327
517	3568	3320
518	3574	3313
519	3581	3305
520	3587	3298
521	3593	3290
522	3600	3283
523	3606	3276
524	3613	3269
525	3619	3261
526	3626	3254
527	3633	3247
528	3639	3240
529	3646	3233
530	3653	3226
531	3659	3219
532	3666	3212
533	3672	3204
534	3678	3197
535	3684	3189
536	3691	3182
537	3697	3175
538	3704	3168
539	3710	3160
540	3716	3153
541	3722	3145
542	3729	3139
543	3735	3131
544	3742	3124
545	3749	3117
546	3755	3110
547	3762	3103
548	3768	3096
549	3775	3088
550	3781	3081
551	3787	3074
552	3794	3067
553	3800	3059
554	3807	3052
555	3814	3045
556	3821	3039
557	3828	3032
558	3834	3024
559	3840	3017
560	3847	3010
561	3854	3003
562	3860	2996
563	3867	2989
564	3873	2982
565	3880	2975
566	3886	2967
567	3892	2960
568	3899	2953
569	3906	2946
570	3912	2939
571	3918	2931
572	3925	2925
573	3931	2917
574	3937	2910
575	3943	2903
576	3950	2895
577	3957	2889
578	3964	2882
579	3970	2875
580	3976	2868
581	3983	2860
582	3989	2853
583	3996	2846
584	4002	2839
585	4008	2832
586	4015	2825
587	4022	2818
588	4029	2811
589	4036	2805
590	4043	2798
591	4049	2791
592	4056	2784
593	4063	2777
594	4069	2770
595	4076	2763
596	4082	2756
597	4089	2749
598	4095	2741
599	4102	2735
600	4109	2728
601	4115	2721
602	4122	2713
603	4128	2706
604	4135	2699
605	4141	2692
606	4148	2685
607	4154	2678
608	4160	2671
609	4167	2664
610	4174	2657
611	4180	2650
612	4187	2643
